order_id,customer_id,order_date,product,quantity,amount
17001,1720,2024-07-28,SMS Basic,1,1239.17
17002,1710,2024-01-21,SMS Enterprise,2,1470.97
17003,1710,2024-07-10,SMS Pro,3,4415.55
17004,1726,2024-03-14,SMS Basic,5,6717.57
17005,1730,2024-06-05,SMS Pro,2,1732.31
17006,1724,2024-09-07,SMS Basic,1,1595.07
17007,1703,2024-01-23,SMS Pro,4,6584.47
17008,1719,2024-08-19,SMS Pro,4,5801.82
17009,1724,2024-11-06,SMS Basic,2,3019.06
17010,1715,2025-01-24,SMS Pro,4,3191.86
17011,1724,2024-06-15,SMS Basic,5,9145.02
17012,1714,2024-07-17,SMS Basic,4,4711.98
17013,1702,2024-12-09,SMS Pro,3,5375.5
17014,1728,2024-03-25,SMS Enterprise,1,1643.99
17015,1726,2025-01-30,SMS Enterprise,3,4866.27
17016,1704,2024-11-25,SMS Enterprise,1,884.85
17017,1720,2024-10-04,SMS Enterprise,1,2414.59
17018,1717,2024-04-06,SMS Pro,5,11468.64
17019,1704,2024-12-03,SMS Enterprise,2,4849.51
17020,1709,2024-04-15,SMS Basic,5,6942.29
17021,1726,2024-09-30,SMS Enterprise,3,3910.79
17022,1702,2024-09-08,SMS Basic,3,4122.1
17023,1714,2024-01-13,SMS Enterprise,3,3792.07
17024,1703,2024-02-28,SMS Basic,5,4181.56
17025,1705,2024-04-03,SMS Pro,1,808.45
17026,1714,2024-12-13,SMS Basic,1,1728.95
17027,1711,2024-04-02,SMS Basic,1,1096.05
17028,1704,2024-06-12,SMS Basic,4,9144.09
17029,1709,2024-07-11,SMS Basic,1,905.12
17030,1725,2024-11-01,SMS Enterprise,2,2971.92
17031,1725,2024-09-15,SMS Pro,1,1038.58
17032,1711,2024-08-25,SMS Enterprise,4,2523.67
17033,1701,2024-07-27,SMS Enterprise,2,4654.94
17034,1701,2024-05-17,SMS Enterprise,5,9250.97
17035,1708,2025-01-25,SMS Enterprise,2,2218.45
17036,1714,2024-08-16,SMS Basic,5,4534.57
17037,1705,2024-07-10,SMS Enterprise,2,4128.09
17038,1718,2024-08-04,SMS Enterprise,4,2334.34
17039,1727,2024-08-25,SMS Enterprise,3,5418.35
17040,1706,2024-01-01,SMS Basic,4,4186.42
17041,1709,2024-12-14,SMS Pro,3,6554.63
17042,1707,2024-10-26,SMS Enterprise,3,1772.91
17043,1724,2024-09-30,SMS Enterprise,1,1101.28
17044,1713,2024-12-23,SMS Basic,2,3900.3
17045,1709,2024-08-09,SMS Basic,5,7548.2
17046,1726,2024-06-11,SMS Enterprise,3,5311.02
17047,1725,2024-12-28,SMS Pro,3,2975.57
17048,1711,2024-06-23,SMS Basic,4,9671.94
17049,1711,2024-01-09,SMS Enterprise,2,3585.77
17050,1701,2024-11-07,SMS Pro,1,2302.89
17051,1722,2024-03-29,SMS Pro,5,11452.68
17052,1723,2024-09-07,SMS Pro,5,3311.49
17053,1729,2024-11-28,SMS Enterprise,1,1577.3
17054,1729,2024-12-09,SMS Pro,1,1205.99
17055,1727,2024-07-11,SMS Enterprise,3,3820.51
17056,1727,2025-01-28,SMS Enterprise,1,749.53
17057,1712,2024-04-08,SMS Pro,1,943.04
17058,1701,2025-01-23,SMS Pro,3,2649.07
17059,1727,2024-11-10,SMS Enterprise,3,6350.49
17060,1708,2024-04-29,SMS Pro,3,1720.78
17061,1716,2024-12-26,SMS Enterprise,5,4590.86
17062,1707,2024-11-22,SMS Pro,1,2239.83
17063,1719,2024-09-13,SMS Pro,2,3207.14
17064,1722,2025-01-13,SMS Enterprise,5,8151.4
17065,1703,2024-10-28,SMS Basic,1,754.86
